name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
Lonesome Primary School,Community school,Open,Grove Road,,Mitcham,Surrey,CR4 1SD,https://www.bedifferent-federation.org.uk/index.html,2086481722.0,Mrs,Nathalie,Bull,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102636,
Merton Abbey Primary School,Community school,Open,High Path,Merton,London,,SW19 2JY,www.mertonabbey.merton.sch.uk/,2085427129.0,Mr,Michael,Bradley,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102638,
Merton Park Primary School,Community school,Open,Church Lane,Merton Park,London,,SW19 3HQ,,2085427128.0,Mr,Andrew,Knox,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102639,
Morden Primary School,Community school,Open,London Road,,Morden,Surrey,SM4 5PX,www.morden.merton.sch.uk/,2086484168.0,Mrs,Peta,Blow,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102640,
Pelham Primary School,Community school,Open,Southey Road,Wimbledon,London,,SW19 1NU,http://www.pelham.merton.sch.uk,2085422005.0,Mrs,Emma,Greer,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102642,
Haslemere Primary School,Community school,Open,Brooklands Court,Haslemere Avenue,Mitcham,Surrey,CR4 3PQ,www.haslemereprimary.co.uk,2086489660.0,Miss,Kay,Ottley,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102643,
Poplar Primary School,Community school,Open,Poplar Road South,Merton Park,London,,SW19 3JZ,www.poplar.merton.sch.uk,2085426989.0,Mrs,Elaine,Spick,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102644,
St Mark's Primary School,Community school,Open,St Mark's Road,,Mitcham,Surrey,CR4 2LF,www.stmarks.merton.sch.uk/,2086482339.0,Mrs,Ania,Kennedy,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102645,
The Sherwood School,Community school,Open,Abbotts Road,,Mitcham,Surrey,CR4 1JP,https://www.thesherwoodschool.co.uk/,2087645100.0,Mrs,Andriana,Loizou-Samouel,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102646,
Singlegate Primary School,Community school,Open,South Gardens,Colliers Wood,London,,SW19 2NT,www.bedifferent-federation.org.uk,2083958737.0,Mrs,Nathalie,Bull,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102647,
Wimbledon Park Primary School,Community school,Open,Havana Road,,London,,SW19 8EJ,www.wimbledonpark.merton.sch.uk/,2089464925.0,Mr,Paul,Lufkin,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102648,
Abbotsbury Primary School,Community school,Open,Abbotsbury Road,,Morden,Surrey,SM4 5JS,www.abbotsbury.merton.sch.uk/,2086401010.0,Mrs,Ro,Maybury,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102649,
West Wimbledon Primary School,Community school,Open,Bodnant Gardens,West Barnes Lane,London,,SW20 0BZ,http://www.westwimbledonprimary.co.uk/,2089461620.0,Mrs,Rosie,Williamson,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102652,
Cranmer Primary School,Community school,Open,Cranmer Road,,Mitcham,Surrey,CR4 4XU,https://www.cranmer.merton.sch.uk/,2086482621.0,Mr,Martin,Roughley,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102653,
Gorringe Park Primary School,Community school,Open,Sandy Lane,Figges Marsh,Mitcham,Surrey,CR4 2YA,www.gorringepark.co.uk,2086481451.0,Mrs,Pearl,Harris-Coke,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102654,
Hillcross Primary School,Community school,Open,Ashridge Way,,Morden,Surrey,SM4 4EE,www.hillcross.merton.sch.uk,2085426936.0,Mrs,Lisa,Francis,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102655,
Liberty Primary,Community school,Open,Western Road,,Mitcham,Surrey,CR4 3EB,www.liberty.merton.sch.uk,2086465290.0,Ms,Rena,Shahjahan,Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102656,
William Morris Primary School,Community school,Open,Recreation Way,,Mitcham,Surrey,CR4 1PJ,https://www.bedifferent-federation.org.uk/,2087649765.0,Mrs,Nathalie,Bull,Executive Headteacher,Does not apply,Mixed,Primary,,Mitcham and Morden,102661,
Wimbledon Chase Primary School,Community school,Open,Merton Hall Road,,London,,SW19 3QB,www.wimbledonchaseschool.co.uk/,2085421413.0,Mr,Keith,Ellis,Headteacher,Does not apply,Mixed,Primary,,Wimbledon,102662,
All Saints' CofE Primary School,Voluntary aided school,Open,3 - 19 Hanover Road,,London,,SW19 1EB,http://www.allsaints.merton.sch.uk,2085403004.0,Mrs,Angela,Filsell,Headteacher,Church of England,Mixed,Primary,,Wimbledon,102663,
St Matthew's CofE Primary School,Voluntary aided school,Open,Cottenham Park Road,,London,,SW20 0SX,www.st-matthews.merton.sch.uk,2089477227.0,Mrs,Julia,Warner,Headteacher,Church of England,Mixed,Primary,,Wimbledon,102664,
Holy Trinity CofE Primary School,Voluntary aided school,Open,Effra Road,Wimbledon,London,,SW19 8PW,http://www.holytrinity.merton.sch.uk,2085421591.0,Mrs,Ysanne,Rickards,Headteacher,Church of England,Mixed,Primary,,Wimbledon,102665,
Bishop Gilpin CofE Primary School,Voluntary aided school,Open,Lake Road,,Wimbledon,,SW19 7EP,www.bishopgilpin.org,2089466666.0,Mr,Matt,Birch,Headteacher,Church of England,Mixed,Primary,,Wimbledon,102666,
St Peter and Paul Catholic Primary School,Voluntary aided school,Open,Cricket Green,,MITCHAM,Surrey,CR4 4LA,www.sspp.merton.sch.uk,2086481459.0,Mrs,Vanessa,Atkinson-Aransiola,Headteacher,Roman Catholic,Mixed,Primary,,Mitcham and Morden,102667,
Sacred Heart Catholic Primary School,Voluntary aided school,Open,Burlington Road,,New Malden,Surrey,KT3 4ND,www.sacredheart.merton.sch.uk,2089420215.0,Mrs,Lorraine,Dolan-Walsh,Interim Headteacher,Roman Catholic,Mixed,Primary,,Wimbledon,102668,
St Teresa's Catholic Primary School,Voluntary aided school,Open,Montacute Road,,Morden,Surrey,SM4 6RL,www.st-teresas.merton.sch.uk,2086481846.0,Mr,Justin,Dachtler,Headteacher,Roman Catholic,Mixed,Primary,,Mitcham and Morden,102669,
St Mary's Catholic Primary School,Voluntary aided school,Open,Russell Road,Wimbledon,London,,SW19 1QL,www.st-marys.merton.sch.uk,2085424580.0,Mr,David,McCabe,Headteacher,Roman Catholic,Mixed,Primary,,Wimbledon,102670,
The Priory CofE School,Voluntary aided school,Open,Queens Road,Wimbledon,London,,SW19 8LX,www.thepriory.merton.sch.uk,2085408059.0,Mrs,Lesley,Steward,Headteacher,Church of England,Mixed,Primary,,Wimbledon,102672,
Ricards Lodge High School,Community school,Open,Lake Road,Wimbledon,London,,SW19 7HB,http://ricardslodge.merton.sch.uk/,2089462208.0,Mrs,Kate,Page,Headteacher,Does not apply,Girls,Secondary,,Wimbledon,102673,
Raynes Park High School,Community school,Open,Bushey Road,,London,,SW20 0JL,http://www.rphs.org.uk,2089464112.0,Miss,Kirsten,Taylor,Headteacher,Does not apply,Mixed,Secondary,01/01/1900,Wimbledon,102674,
Rutlish School,Voluntary controlled school,Open,Watery Lane,Merton Park,London,,SW20 9AD,www.rutlish.merton.sch.uk,2085421212.0,Ms,Laura,Howarth,Headteacher,,Boys,Secondary,,Wimbledon,102679,
Wimbledon College,Voluntary aided school,Open,Edge Hill,,London,,SW19 4NS,http://www.wimbledoncollege.org.uk/,2089462533.0,Mr,Adrian,Laing,Head Master,Roman Catholic,Boys,Secondary,,Wimbledon,102681,
Melrose School,Community special school,Open,Church Road/ Whatley Avenue,,Mitcham/ Raynes Park,Surrey,CR4 3BE,www.melbury.merton.sch.uk,2086462620.0,Ms,Carla,Chandler,Executive Head,Does not apply,Mixed,Not applicable,,Mitcham and Morden,102697,melroseoffice@melbury.merton.sch.uk
Perseid School,Community special school,Open,Bordesley Road,,Morden,Surrey,SM4 5LT,www.perseid.merton.sch.uk,2086489737.0,Mrs,Fiona,Copeland,Headteacher,Does not apply,Mixed,Not applicable,,Mitcham and Morden,102698,
Cricket Green School,Community special school,Open,Lower Green West,,Mitcham,Surrey,CR4 3AF,www.cricketgreen.merton.sch.uk,2086401177.0,Mrs,Celia,Dawson,Headteacher,Does not apply,Mixed,Not applicable,,Mitcham and Morden,102699,
Edith Kerrison Nursery School,Local authority nursery school,Open,Sophia Road,,London,,E16 3PB,http://www.edithkerrison.newham.sch.uk/,2074761735.0,Ms,Joanne,Aylett,Headteacher,Does not apply,Mixed,Nursery,,West Ham and Beckton,102700,
Kay Rowe Nursery School,Local authority nursery school,Open,Forest Gate,Forest Gate,London,,E7 0PH,www.kayrowe.newham.sch.uk,2085344403.0,Ms,Sarah,Porter,Headteacher,Does not apply,Mixed,Nursery,,Stratford and Bow,102701,
Rebecca Cheetham Nursery and Children's Centre,Local authority nursery school,Open,Marcus Street,Stratford,London,,E15 3JT,http://www.rebeccacheetham.newham.sch.uk/,2085343136.0,Mr,Rohan,Allen,Acting Head Teacher,Does not apply,Mixed,Nursery,,West Ham and Beckton,102702,
Ronald Openshaw Nursery School,Local authority nursery school,Open,Henniker Road,Stratford,London,,E15 1JP,www.ronaldopenshaw.newham.sch.uk,2085346196.0,Mrs,Megan,Panayiotou,Headteacher,Does not apply,Mixed,Nursery,,Stratford and Bow,102703,
St Stephen's Nursery School,Local authority nursery school,Open,Whitfield Road,,London,,E6 1AS,www.st-stephens-nurserychildrencentre.org.uk,2085860147.0,Ms,Neena,Lall OBE,Headteacher,Does not apply,Mixed,Nursery,,East Ham,102704,
Sheringham Nursery School & Children's Centre,Local authority nursery school,Open,Sheringham Avenue,Manor Park,London,,E12 5PB,http://www.sheringham-nur.org.uk/,2085532479.0,Miss,Lindsey,Foster,Headteacher,Does not apply,Mixed,Nursery,,East Ham,102705,
Oliver Thomas Nursery School,Local authority nursery school,Open,Mathews Avenue,East Ham,London,,E6 6BU,,2085521177.0,Ms,Lorna,Prynne,Headteacher,Does not apply,Mixed,Nursery,,East Ham,102706,
Tunmarsh School,Pupil referral unit,Open,Tunmarsh Lane,Plaistow,London,,E13 9NB,www.newhamprus.org.uk,2075040531.0,Ms,Kirsten,Macleod,Headteacher,Does not apply,Mixed,Not applicable,01/06/1994,West Ham and Beckton,102708,
Altmore Infant School,Community school,Open,Altmore Avenue,East Ham,London,,E6 2BX,www.altmore.newham.sch.uk,2084723555.0,Mrs,Sarah,Rowlands,Headteacher,Does not apply,Mixed,Primary,,East Ham,102709,
Avenue Primary School,Community school,Open,Meanley Road,Manor Park,London,,E12 6AR,http://www.avenue.newham.sch.uk/,2085535682.0,Mr,Lee,Franklin-Lewis,Headteacher,Does not apply,Mixed,Primary,01/01/1900,East Ham,102710,
Brampton Primary School,Community school,Open,Brampton Road,East Ham,London,,E6 3LB,https://www.brampton.newham.sch.uk/,2084720830.0,Mrs,Paven,Kettory,Acting Headteacher,Does not apply,Mixed,Primary,,East Ham,102711,
Carpenters Primary School,Community school,Open,Friendship Way,Stratford,London,,E15 2JQ,www.carpenters.newham.sch.uk,2085344759.0,Miss,Diane,Barrick,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102712,
Dersingham Primary School,Community school,Open,"Dersingham Avenue, Manor Park, London",Manor Park,London,,E12 5QJ,www.dersingham.newham.sch.uk,2084782133.0,Mr,Lando,Du Plooy,Headteacher,Does not apply,Mixed,Primary,,East Ham,102716,
Godwin Junior School,Community school,Open,Cranmer Road,Forest Gate,London,,E7 0JW,www.godwin.newham.sch.uk,2085347601.0,Ms,Sine,Brown,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102721,
Woodgrange Infant School,Community school,Open,Sebert Road,,London,,E7 0NJ,www.woodgrange.newham.sch.uk/,2085342120.0,Mrs,S,Soyler,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102722,
Grange Primary School,Community school,Open,Suffolk Road,Plaistow,London,,E13 0HE,www.grange.newham.sch.uk/,2074765146.0,Mrs,D,Smith,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102723,
Keir Hardie Primary School,Community school,Open,13 Robertson Road,Canning Town,London,,E16 1FZ,www.keirhardie.newham.sch.uk/,2074761284.0,Ms,Violet,Otieno,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102725,
Lathom Junior School,Community school,Open,Lathom Road,East Ham,London,,E6 2DU,www.lathom.newham.sch.uk,2084720386.0,Mrs,Sarah,Rowlands,Headteacher,Does not apply,Mixed,Primary,,East Ham,102728,
Stratford Manor Primary School & Nursery,Community school,Open,Richardson Road,,London,,E15 3BA,www.manor.newham.sch.uk/,2085342238.0,Ms,Kate,McGee,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102729,
Maryland Primary School,Community school,Open,Gurney Road,,London,,E15 1SL,www.maryland.newham.sch.uk/,2085348135.0,Mrs,Lorna,Jackson,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102730,
Odessa Infant School,Community school,Open,Wellington Road,,London,,E7 9BY,www.odessa.newham.sch.uk/,2085347967.0,Mrs,Clare,Barber,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102735,
Park Primary School,Community school,Open,"Park Primary School, Mathews Park Avenue",,London,,E15 4AE,www.park.newham.sch.uk/,2085344065.0,Miss,Clare,Broadhurst,Headteacher,Does not apply,Mixed,Primary,01/01/1900,Stratford and Bow,102736,
Roman Road Primary School,Community school,Open,Roman Road,,London,,E6 3SQ,www.romanroad.newham.sch.uk/,2074761602.0,Mr,Asif,Mahmood,Headteacher,Does not apply,Mixed,Primary,,East Ham,102740,
Salisbury Primary School,Community school,Open,495 High Street North,,Manor Park,,E12 6TH,www.salisbury.newham.sch.uk/,2084786059.0,Ms,Andrea,Choppy,Headteacher,Does not apply,Mixed,Primary,,East Ham,102742,
William Davies Primary School,Community school,Open,Stafford Road,,London,,E7 8NL,www.williamdavies.newham.sch.uk/,2084723864.0,Ms,Sally,Norris,Headteacher,Does not apply,Mixed,Primary,,East Ham,102745,
Star Primary School,Community school,Open,Star Lane,Canning Town,London,,E16 4NH,www.star.newham.sch.uk/,2074765336.0,Ms,Lisle,Von Buchenroder,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102746,
St Stephen's Primary School,Community school,Open,Whitfield Road,,London,,E6 1AS,www.st-stephens-primary.org.uk/,2084727575.0,Ms,Neena,Lall OBE,Headteacher,Does not apply,Mixed,Primary,,East Ham,102748,
Winsor Primary School,Community school,Open,East Ham Manor Way,Beckton,London,,E6 5NA,www.winsor.newham.sch.uk,2074762323.0,Mrs,Anita,Kumar,Head Teacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102751,
Colegrave Primary School,Community school,Open,Henniker Road,,London,,E15 1JY,www.colegrave.newham.sch.uk/,2085340243.0,Ms,Tahreem,Shaz-Vennus,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,102752,
Southern Road Primary School,Community school,Open,Southern Road,,Plaistow,,E13 9JH,www.southernroad.newham.sch.uk,2084719048.0,Ms,Dena Lawrence,Ms Helen Yearnshire,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102755,
Calverton Primary School,Community school,Open,King George Avenue,,London,,E16 3ET,www.calverton.newham.sch.uk,2074763076.0,Mr,Lando,Du Plooy,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102758,
Ellen Wilkinson Primary School,Community school,Open,Tollgate Road,Beckton,London,,E6 5UP,www.ellenwilkinson.newham.sch.uk,2075119414.0,Mrs,Janice,Owen-Amadasun,Headteacher,Does not apply,Mixed,Primary,,West Ham and Beckton,102759,
Essex Primary School,Community school,Open,Sheridan Road,Manor Park,London,,E12 6QX,www.essex.newham.sch.uk/,2084720322.0,Mrs,Cecilia,Mojzes,Headteacher,Does not apply,Mixed,Primary,,East Ham,102763,
St James' CofE Junior School,Voluntary controlled school,Open,Tower Hamlets Road,Forest Gate,London,,E7 9DA,www.st-james.newham.sch.uk/,2085344030.0,Mrs,Rose,Boland - Bourne,Headteacher,Church of England,Mixed,Primary,,Stratford and Bow,102764,
West Ham Church Primary School,Voluntary controlled school,Open,Portway,Stratford,London,,E15 3QG,www.westham.newham.sch.uk/,2085343904.0,Mrs,Nicola,James,Headteacher,Church of England,Mixed,Primary,,West Ham and Beckton,102765,
St Luke's Primary School,Voluntary aided school,Open,Ruscoe Road,,London,,E16 1JB,www.st-lukes.newham.sch.uk/,2074763559.0,Mr,Matthew,Hipperson,Headteacher,Church of England/Christian,Mixed,Primary,,West Ham and Beckton,102766,
Little Ilford School,Community school,Open,Rectory Road,Manor Park,London,,E12 6JB,http://www.littleilford.newham.sch.uk/,2084788024.0,Headteacher,Andrew,Finn,Headteacher,Does not apply,Mixed,Secondary,,East Ham,102776,
Plashet School,Community school,Open,Plashet Grove,East Ham,London,,E6 1DG,http://www.plashetschoolnewham.com,2084712418.0,Mrs,Rachel,McGowan,Headteacher,Does not apply,Girls,Secondary,,East Ham,102782,
St Angela's Ursuline School,Voluntary aided school,Open,St George's Road,Forest Gate,London,,E7 8HU,http://www.stangelas-ursuline.co.uk,2084726022.0,Mr,Mark,Johnson,Headteacher,Roman Catholic,Girls,Secondary,,Stratford and Bow,102786,
St Bonaventure's RC School,Voluntary aided school,Open,Boleyn Road,Forest Gate,London,,E7 9QD,http://www.stbons.org/,2084723844.0,Mr,Christopher,McCormack,Headteacher,Roman Catholic,Boys,Secondary,,Stratford and Bow,102787,
The Constance Bridgeman Centre,Pupil referral unit,Open,Loxford Lane,,Ilford,Essex,IG1 2UT,http://www.constancebridgeman.co.uk,2039600649.0,Mr,Tony,Clayton,Headteacher,Does not apply,Mixed,Not applicable,,Ilford South,102794,
Manford Primary School,Community school,Open,Manford Way,,Chigwell,Essex,IG7 4BX,www.manfordprimary.co.uk/,2085002143.0,Mrs,Julie,Donnelly,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102795,
Cleveland Road Primary School,Community school,Open,Cleveland Road,,Ilford,Essex,IG1 1EW,http://www.clevelandroadpri.uk/,2084783601.0,Miss,Veena,Naidoo,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102798,
Fairlop Primary School,Community school,Open,Colvin Gardens,Hainault,Ilford,Essex,IG6 2LH,www.fairlop.redbridge.sch.uk,2085003857.0,Mrs,Jennifer,Berriman,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102802,
Gilbert Colvin Primary School,Community school,Open,Strafford Avenue,,Ilford,Essex,IG5 0TL,www.gilbertcolvin.co.uk,2085504630.0,Ms,Liz,Cohen,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102805,
Glade Primary School,Community school,Open,Atherton Road,Clayhall,Ilford,Essex,IG5 0PF,www.glade.redbridge.sch.uk/,2087080200.0,Mrs,Farzana,Hussain,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102806,
Goodmayes Primary School,Community school,Open,Castleton Road,Goodmayes,Ilford,Essex,IG3 9RW,http://goodmayesprimary.school,2085905810.0,Mr,Lee,Walker,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102807,
Gordon Primary School,Community school,Open,Gordon Primary School,,Ilford,Essex,IG1 1SU,http://www.gordonpri.uk,2084782977.0,Ms,Veena,Naidoo,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102808,
Mossford Green Primary School,Community school,Open,Fairlop Road,Barkingside,Ilford,Essex,IG6 2EW,www.mossfordgreen.redbridge.sch.uk,2085501602.0,Mr,Matthew,Tranter,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102811,
Newbury Park Primary School,Community school,Open,Perryman's Farm Road,Barkingside,Ilford,Essex,IG2 7LB,http://www.newburyparkschool.net,2085546343.0,Mrs,Sebrina,Dawes,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102812,
Uphall Primary School,Community school,Open,Uphall Road,,Ilford,Essex,IG1 2JD,http://www.uphallprimary.co.uk,2084782993.0,Dr,Kulvarn,Atwal,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102819,
William Torbitt Primary School,Community school,Open,Eastern Avenue,Newbury Park,Ilford,Essex,IG2 7SS,https://www.williamtorbitt.redbridge.sch.uk/,2085991209.0,Mrs,Clare,Pike,Headteacher,Does not apply,Mixed,Primary,01/01/1900,Ilford North,102820,
Aldersbrook Primary School,Community school,Open,Harpenden Road,Wanstead,London,Essex,E12 5HL,www.aldersbrook.redbridge.sch.uk,2089890210.0,Ms,Julie,Crouch,Headteacher,Does not apply,Mixed,Primary,,Leyton and Wanstead,102823,
Roding Primary School,Community school,Open,Roding Lane North,Woodford Bridge,Woodford Green,Essex,IG8 8NP,www.rodingprimary.co.uk,2085043706.0,Ms,Melissa,Nwankiti,Headteacher,Does not apply,Mixed,Primary,,Chingford and Woodford Green,102830,
Wells Primary School,Community school,Open,Barclay Oval,,Woodford Green,Essex,IG8 0PP,www.wellsprimary.co.uk,2087080500.0,Ms,Debbie,Franklin,Headteacher,Does not apply,Mixed,Primary,,Chingford and Woodford Green,102831,
Snaresbrook Primary School,Community school,Open,Meadow Walk,South Woodford,London,,E18 2EN,http://www.snaresbrook.redbridge.dbprimary.com/redbridge/primary/snaresbrook,2089899975.0,Mrs,Nicola,Hedges,Headteacher,Does not apply,Mixed,Primary,,Leyton and Wanstead,102832,
Fullwood Primary School,Community school,Open,21-24 Burford Close,Off Hatley Avenue,Ilford,Essex,IG6 1ER,www.fullwoodprimary.co.uk,2085513288.0,Mr,Danvir,Visvanathan,Executive Headteacher,Does not apply,Mixed,Primary,,Ilford North,102833,
Woodlands Primary School,Community school,Open,Loxford Lane,,Ilford,Essex,IG1 2PY,https://www.woodlandsredbridge.co.uk,2084784612.0,Ms,Melanie,Jackson,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102834,
Grove Primary School,Community school,Open,Chadwell Heath Lane,Chadwell Heath,Romford,Essex,RM6 4XS,www.grove.redbridge.sch.uk/,2085903611.0,Ms,Beverley,Komorowska,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102835,
Chadwell Primary School,Community school,Open,High Road,Chadwell Heath,Romford,Essex,RM6 4EU,www.chadwellprimaryschool.co.uk/,2085901242.0,Mr,Lee,Walker,Headteacher,Does not apply,Mixed,Primary,,Ilford South,102836,
Coppice Primary School,Community school,Open,"Coppice Primary School, Manford Way",,Chigwell,Essex,IG7 4AL,www.coppice.redbridge.sch.uk,2087080740.0,Mrs,Clare,Pike,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102837,
John Bramston Primary School,Community school,Open,Newcastle Avenue,New North Road,Hainault,Essex,IG6 3EE,http://www.johnbramston.redbridge.sch.uk/,2085004640.0,Mrs,Melanie,Dye,Headteacher,Does not apply,Mixed,Primary,,Ilford North,102838,
Nightingale Primary School,Community school,Open,Ashbourne Avenue,South Woodford,London,,E18 1PL,www.nightingale.redbridge.sch.uk,2089899987.0,Mrs,Clare,Lynam,Headteacher,Does not apply,Mixed,Primary,,Leyton and Wanstead,102839,
Barley Lane Primary School,Community school,Open,Huxley Drive,Chadwell Heath,Romford,Essex,RM6 4RJ,http://www.barleylane.redbridge.sch.uk/,2085908474.0,Mr,Michael,Henry,Executive Headteacher,Does not apply,Mixed,Primary,,Ilford South,102840,
Wanstead Church School,Voluntary aided school,Open,Church Path,Wanstead,London,,E11 2SS,www.wansteadchurchsch.co.uk,2089896001.0,Mrs,Natalie,Denchfield,Headteacher,Church of England,Mixed,Primary,,Leyton and Wanstead,102841,
St Augustine's Catholic Primary School,Voluntary aided school,Open,Cranbrook Road,Gants Hill,Ilford,Essex,IG2 6RG,www.staugustinesschool.org.uk,2085541919.0,Mr,Pius,Olorunfe-Ojo,Headteacher,Roman Catholic,Mixed,Primary,,Ilford North,102842,
St Antony's Catholic Primary School,Voluntary aided school,Open,Mornington Road,,Woodford Green,Essex,IG8 0TX,http://www.stantonyscatholicps.co.uk/,2085044706.0,Ms,Chantal,Pampellonne,Headteacher,Roman Catholic,Mixed,Primary,01/01/1900,Chingford and Woodford Green,102844,
St Bede's Catholic Primary School,Voluntary aided school,Open,Canon Avenue,Chadwell Heath,Romford,Essex,RM6 5RR,,2085901376.0,Mr,G,Nott,Headteacher,Roman Catholic,Mixed,Primary,01/01/1900,Ilford South,102845,
Wohl Ilford Jewish Primary School,Voluntary aided school,Open,Forest Road,,Ilford,Essex,IG6 3HB,http://www.ijpsonline.co.uk,2084981350.0,Mrs,Lisa,West,Headteacher,Jewish,Mixed,Primary,,Ilford North,102847,
Caterham High School,Community school,Open,Caterham Avenue,Clayhall,Ilford,Essex,IG5 0QW,http://www.ecaterham.net/,2085514321.0,Ms,Belinda,Chapple,Headteacher,Does not apply,Mixed,Secondary,,Ilford North,102849,
Ilford County High School,Community school,Open,Fremantle Road,Barkingside,Ilford,Essex,IG6 2JB,http://www.ichs.org.uk/,2085516496.0,Mrs,Rebecca,Drysdale,Headteacher,Does not apply,Boys,Secondary,,Ilford North,102850,
Wanstead High School,Community school,Open,Redbridge Lane West,Wanstead,London,,E11 2JZ,www.wansteadhigh.co.uk,2089892791.0,Ms,Emma,Hillman,Headteacher,Does not apply,Mixed,Secondary,,Leyton and Wanstead,102851,
Woodford County High School,Community school,Open,High Road,,Woodford Green,Essex,IG8 9LA,http://www.woodford.redbridge.sch.uk/,2085040611.0,Miss,Gemma,Van Praagh,Headteacher,Does not apply,Girls,Secondary,,Chingford and Woodford Green,102852,
Woodbridge High School,Community school,Open,St Barnabas Road,,Woodford Green,Essex,IG8 7DQ,http://www.woodbridgehigh.co.uk/,2085049618.0,Mr,Steven,Hogan,Headteacher,Does not apply,Mixed,Secondary,,Chingford and Woodford Green,102854,
Seven Kings School,Community school,Open,Ley Street,,Ilford,Essex,IG2 7BT,www.sevenkings.school,2085548935.0,Ms,Jane,Waters,Executive Headteacher,Does not apply,Mixed,All-through,,Ilford South,102856,
Valentines High School,Community school,Open,Cranbrook Road,,Ilford,Essex,IG2 6HX,http://www.valentines-sch.org.uk/,2085543608.0,Mr,Richard,Laws,Headteacher,Does not apply,Mixed,Secondary,,Ilford North,102857,
Mayfield School,Foundation school,Open,Pedley Road,,Dagenham,Essex,RM8 1XE,http://www.mayfieldschool.net/,2085905211.0,Mr,Remo,Iafrate,Headteacher,,Mixed,Secondary,,Ilford South,102858,
Trinity Catholic High School,Voluntary aided school,Open,Mornington Road,,Woodford Green,Essex,IG8 0TP,http://tchs.org.uk,2085043419.0,Dr,Paul,Doherty,Headteacher,Roman Catholic,Mixed,Secondary,,Chingford and Woodford Green,102860,
King Solomon High School,Voluntary aided school,Open,Forest Road,Barkingside,Ilford,Essex,IG6 3HB,http://www.kshsonline.uk,2084981300.0,Ms,M,Phillips,Headteacher,Jewish,Mixed,Secondary,,Ilford North,102861,
Little Heath School,Foundation special school,Open,Hainault Road,Little Heath,Romford,Essex,RM6 5RX,www.lheath.net,2085994864.0,Mrs,Fawzia,Govender,Headteacher,Does not apply,Mixed,Not applicable,,Ilford North,102878,
New Rush Hall School,Community special school,Open,Fencepiece Road,Hainault,Ilford,Essex,IG6 2LB,https://www.newrushhallschool.co.uk,2085013951.0,Mr,Sam,Walters,Headteacher,Does not apply,Mixed,Not applicable,,Ilford North,102879,
Hatton Special School,Community special school,Open,Roding Lane South,,Woodford Green,Essex,IG8 8EU,www.hattonspecialschool.co.uk,2085514131.0,Mr,Chris,Smaling,Headteacher,Does not apply,Mixed,Not applicable,,Ilford North,102881,
Windham Nursery School,Local authority nursery school,Open,Windham Road,,Richmond,Surrey,TW9 2HP,,2088316060.0,Mrs,Beverley,Turner,Headteacher,Does not apply,Mixed,Nursery,,Richmond Park,102882,
